index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,days_since_start,sales,date
272371,415,7,0,0,0,0,0,789,0.0,2015-03-01
558468,27,7,0,0,0,0,0,362,0.0,2013-12-29
76950,404,3,657,1,1,0,0,442,6468.903198095318,2014-03-19
77556,683,2,862,1,0,0,0,28,8001.520349231023,2013-01-29
456344,920,3,591,1,1,0,0,442,6191.784409207959,2014-03-19
436466,758,4,569,1,0,0,0,541,5068.908421421279,2014-06-26
646251,563,1,321,1,1,0,0,776,4043.9220264406936,2015-02-16
650464,930,6,1367,1,0,0,0,690,7818.420773509403,2014-11-22
162710,756,4,0,0,1,1,0,884,0.0,2015-06-04
100327,49,2,546,1,1,0,0,742,7452.677933397295,2015-01-13
374540,787,4,968,1,0,0,1,933,9090.286366440487,2015-07-23
399143,782,4,472,1,0,0,0,261,4542.36246072483,2013-09-19
44740,897,7,0,0,0,0,0,474,0.0,2014-04-20
674144,933,1,965,1,0,0,0,342,7657.290805828062,2013-12-09
81595,218,2,804,1,0,0,1,826,7020.97564373978,2015-04-07
416724,554,3,499,1,1,0,1,281,4424.045078539397,2013-10-09
632687,362,1,1337,1,1,0,1,223,12854.492088179459,2013-08-12
351899,655,3,560,1,0,0,0,463,5285.857252582029,2014-04-09
515940,785,3,461,1,0,0,1,729,4594.9677331318735,2014-12-31
567411,690,3,866,1,1,0,0,442,7838.819154554995,2014-03-19
274598,1103,7,0,0,0,0,0,775,0.0,2015-02-15
417880,431,1,1367,1,1,0,0,517,13636.683206105254,2014-06-02
453710,127,2,642,1,1,0,0,266,6545.4774405512335,2013-09-24
597622,579,5,0,0,1,2,1,87,0.0,2013-03-29
223346,248,6,1139,1,0,0,0,214,8105.559716778149,2013-08-03
630018,962,6,0,0,0,0,0,375,0.0,2014-01-11
355860,224,2,515,1,1,0,1,84,6218.006876608572,2013-03-26
360080,208,3,355,1,1,0,1,169,2522.1314285714284,2013-06-19
129544,401,1,1063,1,1,0,0,818,13225.91311952366,2015-03-30
422545,503,7,0,0,0,0,0,271,0.0,2013-09-29
174199,221,4,562,1,1,0,0,793,6253.3240015968095,2015-03-05
118613,268,7,0,0,0,0,0,670,0.0,2014-11-02
60310,799,2,927,1,1,0,1,238,9854.025719754096,2013-08-27
328458,260,6,894,1,0,0,0,662,6514.865947516475,2014-10-25
200661,1041,2,594,1,0,0,0,798,5361.5430114922565,2015-03-10
179581,350,2,533,1,1,0,0,168,7170.255183011592,2013-06-18
587612,286,7,0,0,0,0,0,824,0.0,2015-04-05
320169,620,2,709,1,1,0,0,154,7361.679357075554,2013-06-04
37194,521,1,484,1,1,0,0,167,5819.20768941087,2013-06-17
685427,649,4,435,1,1,0,0,695,4557.434511877242,2014-11-27
125422,1059,2,1239,1,1,0,0,882,11354.244855959063,2015-06-02
24499,486,6,373,1,0,0,0,543,3165.065039793672,2014-06-28
281806,252,4,642,1,0,0,0,289,7229.834921382314,2013-10-17
540511,656,3,421,1,1,0,0,134,3630.6392108843534,2013-05-15
28689,642,5,394,1,0,0,0,619,2901.7175624838865,2014-09-12
165066,655,5,761,1,1,0,0,857,8319.691938412388,2015-05-08
555963,992,3,627,1,0,0,0,176,5577.269686564413,2013-06-26
610614,143,2,731,1,1,0,0,882,8155.309854395084,2015-06-02
64013,421,5,941,1,1,0,1,563,8963.01274134205,2014-07-18
30639,246,4,1157,1,1,0,0,639,9613.051980610158,2014-10-02
418604,960,1,720,1,1,0,0,482,7558.524736303909,2014-04-28
468037,313,5,697,1,0,0,0,381,6426.742671817889,2014-01-17
271589,291,6,534,1,0,0,0,179,4908.135356002932,2013-06-29
77924,924,6,333,1,0,0,0,515,2982.4596247527757,2014-05-31
247149,337,2,430,1,1,0,1,224,5619.0004468283205,2013-08-13
576822,1024,4,607,1,0,0,0,800,5013.312508420822,2015-03-12
108538,56,3,402,1,1,0,0,386,5813.62732371545,2014-01-22
645670,507,3,532,1,0,0,0,463,5056.346471511101,2014-04-09
601663,970,5,406,1,0,0,0,73,3230.4549560597693,2013-03-15
502588,846,2,828,1,0,0,0,903,6896.655560749712,2015-06-23
66732,549,3,582,1,0,0,0,603,5264.3956258541175,2014-08-27
627113,1095,4,852,1,1,0,1,86,7576.4598738563045,2013-03-28
691184,859,5,709,1,1,0,0,101,6953.011269774247,2013-04-12
467913,914,2,1178,1,1,0,1,574,10416.628007198344,2014-07-29
304890,888,2,634,1,0,0,0,903,5912.889325372163,2015-06-23
274018,442,2,517,1,1,0,0,672,5660.678931763427,2014-11-04
644430,34,6,905,1,0,0,0,67,7232.730017126604,2013-03-09
669009,199,4,581,1,0,0,0,555,6208.101540679269,2014-07-10
518722,854,4,657,1,1,1,0,884,6924.945527282118,2015-06-04
505976,611,2,485,1,1,0,0,385,5726.352676545925,2014-01-21
291572,808,4,528,1,0,0,1,828,5598.667089893187,2015-04-09
39071,1105,4,410,1,0,0,0,751,3704.5471145128545,2015-01-22
319154,866,5,445,1,0,0,0,843,5208.445984564106,2015-04-24
166603,222,6,367,1,0,0,0,270,3259.1499769777265,2013-09-28
428262,476,2,753,1,1,0,0,266,7137.040292262333,2013-09-24
20314,800,1,494,1,0,0,0,510,4786.804893066998,2014-05-26
603091,330,1,408,1,0,0,0,447,3853.308139311523,2014-03-24
500421,507,3,648,1,1,0,0,736,7977.228227445911,2015-01-07
388016,98,7,0,0,0,0,0,152,0.0,2013-06-02
268257,1026,2,1044,1,0,0,0,392,7873.394844782538,2014-01-28
216326,990,5,719,1,0,0,0,276,6507.682945214627,2013-10-04
40755,8,6,345,1,0,0,0,739,2955.958322590575,2015-01-10
8654,611,3,566,1,1,0,1,211,6400.869425672276,2013-07-31
37301,257,2,777,1,1,0,0,224,7162.16308192485,2013-08-13
485623,840,4,1189,1,1,0,0,835,9292.52341985662,2015-04-16
214073,848,5,998,1,1,0,1,941,9995.837081396729,2015-07-31
406145,124,6,297,1,0,0,0,557,2717.9174708127116,2014-07-12
397642,1028,2,438,1,0,0,1,364,4123.411868512983,2013-12-31
273960,95,2,1099,1,1,0,0,266,9509.073391924898,2013-09-24
12104,208,1,323,1,0,0,0,300,2431.5851592829426,2013-10-28
361202,249,2,449,1,0,0,0,553,4196.47099782755,2014-07-08
79347,887,3,614,1,1,0,0,78,6812.575237333889,2013-03-20
462803,73,1,601,1,1,0,1,482,6583.3929217288205,2014-04-28
141713,13,4,501,1,1,0,1,821,5994.596475893661,2015-04-02
703618,1049,2,580,1,0,0,1,245,4503.39281871789,2013-09-03
308360,144,4,769,1,1,0,0,765,8304.68180947739,2015-02-05
317995,847,3,1018,1,1,0,1,225,7879.062061199044,2013-08-14
364408,796,3,717,1,0,0,0,127,6952.362658414178,2013-05-08
27886,396,4,1139,1,0,0,0,891,9259.026842442296,2015-06-11
706814,1080,7,0,0,0,0,0,257,0.0,2013-09-15
514516,675,5,338,1,0,0,0,633,2892.599830489637,2014-09-26
577373,1099,1,1236,1,1,0,0,699,12438.104074113857,2014-12-01
190561,791,1,858,1,0,0,0,860,7559.286791473731,2015-05-11
92512,1014,2,1476,1,0,0,0,812,12412.083088277168,2015-03-24
565163,487,2,737,1,1,0,0,672,8089.631895909221,2014-11-04
500246,427,3,701,1,0,0,1,43,6071.122278360265,2013-02-13
223708,254,5,282,1,1,0,0,682,3434.6751182048574,2014-11-14
555732,43,5,710,1,0,0,0,395,5795.536818460352,2014-01-31
654150,1074,2,421,1,0,0,0,889,4189.376592971892,2015-06-09
558350,549,6,380,1,0,0,0,179,3667.39446063487,2013-06-29
52167,1095,2,720,1,1,0,0,7,5625.194985919829,2013-01-08
296981,295,1,612,1,0,0,1,300,4472.978480305027,2013-10-28
332143,319,1,863,1,0,0,1,286,7199.430452914372,2013-10-14
426553,1002,4,642,1,0,0,0,464,5195.489432976483,2014-04-10
481847,448,6,544,1,0,0,0,704,5389.157491917506,2014-12-06
100496,527,2,1046,1,0,0,1,245,10381.057201948423,2013-09-03
706377,255,5,652,1,1,0,0,101,6588.804844280632,2013-04-12
599169,581,5,651,1,1,0,0,549,6488.328811322339,2014-07-04
55294,185,6,550,1,0,0,0,4,5188.171998693241,2013-01-05
218737,244,6,538,1,0,0,0,690,5469.780448817018,2014-11-22
266706,1082,6,877,1,0,0,0,4,5377.753142857143,2013-01-05
441953,216,5,837,1,1,0,0,808,8754.610816640423,2015-03-20
127184,350,4,508,1,1,0,0,793,6468.503539241123,2015-03-05
312223,748,1,822,1,1,0,0,454,8715.132003160297,2014-03-31
583377,718,1,962,1,0,0,0,706,8254.457329789258,2014-12-08
523743,739,5,789,1,1,0,0,416,9341.236210242467,2014-02-21
476775,614,7,0,0,0,0,0,719,0.0,2014-12-21
620142,673,2,615,1,1,0,0,413,6860.164072801885,2014-02-18
460092,83,1,367,1,0,0,0,160,3506.205156462622,2013-06-10
169260,976,3,598,1,0,0,0,260,5286.714210574306,2013-09-18
177084,637,6,518,1,0,0,0,95,4928.597652207397,2013-04-06
645354,122,2,714,1,1,0,0,371,7980.360298635462,2014-01-07
645737,898,1,1013,1,1,0,0,692,10032.216944187818,2014-11-24
272578,1080,4,710,1,0,0,0,541,7099.669745170168,2014-06-26
600374,291,1,1290,1,1,0,0,818,11439.966786425335,2015-03-30
566038,24,4,711,1,0,0,1,2,6683.938600068435,2013-01-03
381862,1096,7,0,0,0,0,0,229,0.0,2013-08-18
535335,637,5,860,1,0,0,0,514,8535.690996934756,2014-05-30
499411,1002,2,850,1,1,0,0,882,8876.957042344158,2015-06-02
625219,666,1,497,1,0,0,0,433,4767.686581945025,2014-03-10
61823,1089,7,0,0,0,0,0,327,0.0,2013-11-24
653471,334,6,515,1,0,0,0,242,4738.299929755144,2013-08-31
441789,300,6,951,1,0,0,1,606,7575.901696396744,2014-08-30
155435,207,1,1166,1,0,0,0,629,8907.448441575118,2014-09-22
226567,683,3,854,1,0,0,0,876,7586.125797267366,2015-05-27
107330,1094,2,394,1,1,0,0,133,4907.388571428572,2013-05-14
149417,700,4,576,1,0,0,0,919,5280.916734034254,2015-07-09
191690,959,2,744,1,0,0,0,602,6281.914189752314,2014-08-26
146544,766,7,0,0,0,0,0,537,0.0,2014-06-22
383603,1011,6,977,1,0,0,0,158,7265.914677924318,2013-06-08
452941,570,5,676,1,0,0,0,346,4587.879986674321,2013-12-13
629103,685,2,689,1,1,0,0,252,7933.301953234912,2013-09-10
